 RODS report1f created at 11:25:31 on 16-02-2018,,,,,,,,,,,
 based on survey data up to 2017 and reconciled to Autumn 2017 counts,,,,,,,,,,,
 ,,,,,,,,,,,
 Report 1f - Analysis by average time spent on journey (minutes) by start station,,,,,,,,,,,
NLC,Station Name,Time period,Total,Total time,Average,< 15 mins,15 - 30,30 - 45,45 - 60,60 - 90,over 90
514,Barking             ,Late        ,1002,21860,21.81,441,355,132,61,14,0
514,Barking             ,Total day   ,34605,992084,28.67,6836,14678,7739,4000,1111,242
515,Barkingside         ,Early       ,523,23542,45.04,0,54,154,303,11,0
515,Barkingside         ,AM peak     ,1290,50677,39.27,0,190,792,229,79,0
515,Barkingside         ,Midday      ,507,17305,34.16,69,196,108,104,28,0
515,Barkingside         ,PM Peak     ,304,7628,25.13,43,200,44,14,3,0
515,Barkingside         ,Evening     ,78,1896,24.34,0,77,0,0,1,0
515,Barkingside         ,Late        ,21,608,28.84,0,20,0,0,1,0
515,Barkingside         ,Total day   ,2722,101657,37.34,112,739,1098,650,123,0
516,Barons Court        ,Early       ,326,8115,24.87,48,162,113,3,0,0
516,Barons Court        ,AM peak     ,4123,97483,23.64,619,2459,1003,42,0,0
516,Barons Court        ,Midday      ,3251,62901,19.35,985,1779,473,13,1,0
516,Barons Court        ,PM Peak     ,3323,86442,26.01,359,1901,948,87,28,0
516,Barons Court        ,Evening     ,920,19892,21.63,279,432,187,21,0,0
516,Barons Court        ,Late        ,245,5360,21.92,56,138,38,12,0,0
516,Barons Court        ,Total day   ,12188,280193,22.99,2346,6872,2762,178,30,0
517,Bayswater           ,Early       ,141,4366,31.04,5,76,27,33,0,0
517,Bayswater           ,AM peak     ,1635,38770,23.72,133,1133,361,5,2,0
517,Bayswater           ,Midday      ,2413,54063,22.4,451,1609,282,57,15,0
517,Bayswater           ,PM Peak     ,1387,31612,22.79,287,815,215,69,1,0
517,Bayswater           ,Evening     ,833,17158,20.6,224,475,119,16,0,0
517,Bayswater           ,Late        ,462,13863,29.99,83,153,142,84,0,0
517,Bayswater           ,Total day   ,6871,159833,23.26,1182,4261,1146,264,17,0
518,Becontree           ,Early       ,1311,45947,35.05,423,88,266,396,138,0
518,Becontree           ,AM peak     ,2439,74557,30.57,698,384,799,468,90,0
518,Becontree           ,Midday      ,1322,31386,23.74,748,110,236,151,77,0
518,Becontree           ,PM Peak     ,680,15498,22.78,330,139,116,94,1,0
518,Becontree           ,Evening     ,256,6601,25.78,0,222,34,0,0,0
518,Becontree           ,Late        ,57,1592,28,0,57,0,0,0,0
518,Becontree           ,Total day   ,6065,175580,28.95,2198,999,1452,1110,306,0
519,Belsize Park        ,Early       ,226,6647,29.35,0,157,69,1,0,0
519,Belsize Park        ,AM peak     ,2976,62629,21.04,547,2188,193,49,0,0
519,Belsize Park        ,Midday      ,3205,62828,19.6,1035,1933,158,78,0,0
519,Belsize Park        ,PM Peak     ,3007,63865,21.24,687,1898,288,113,22,0
519,Belsize Park        ,Evening     ,1029,23384,22.72,254,534,227,13,0,0
519,Belsize Park        ,Late        ,306,8698,28.43,55,121,93,37,0,0
519,Belsize Park        ,Total day   ,10750,228051,21.21,2579,6831,1028,291,22,0
787,Bermondsey          ,Early       ,823,18831,22.87,370,304,60,6,83,0
787,Bermondsey          ,AM peak     ,5540,99584,17.97,2301,2534,619,59,28,0
787,Bermondsey          ,Midday      ,3795,67004,17.66,1592,1933,225,26,19,0
787,Bermondsey          ,PM Peak     ,4024,81591,20.28,1487,1666,746,124,0,0
787,Bermondsey          ,Evening     ,1688,37538,22.23,580,736,311,62,0,0
787,Bermondsey          ,Late        ,630,14011,22.24,186,319,34,91,0,0
787,Bermondsey          ,Total day   ,16501,318558,19.31,6516,7492,1995,367,130,0
520,Bethnal Green       ,Early       ,812,18962,23.36,146,506,119,41,1,0
520,Bethnal Green       ,AM peak     ,6832,123331,18.05,2647,3598,478,100,8,0
520,Bethnal Green       ,Midday      ,6978,119815,17.17,2878,3630,363,69,39,0
520,Bethnal Green       ,PM Peak     ,5385,90459,16.8,2699,2244,388,54,0,0
520,Bethnal Green       ,Evening     ,2525,51751,20.5,1091,1020,282,50,82,0
520,Bethnal Green       ,Late        ,1358,24750,18.22,674,612,69,4,0,0
520,Bethnal Green       ,Total day   ,23889,429068,17.96,10134,11610,1699,318,129,0
521,Blackfriars         ,Early       ,359,6372,17.76,225,78,50,0,6,0
521,Blackfriars         ,AM peak     ,4919,62635,12.73,3596,1116,169,17,21,0
521,Blackfriars         ,Midday      ,5477,103342,18.87,2527,2039,737,93,81,0
521,Blackfriars         ,PM Peak     ,10904,257895,23.65,3215,4380,2824,481,2,0
521,Blackfriars         ,Evening     ,3526,86936,24.65,1043,1402,882,179,21,0
521,Blackfriars         ,Late        ,1054,27886,26.45,256,409,265,103,23,0
521,Blackfriars         ,Total day   ,26238,545067,20.77,10862,9423,4926,873,153,0
522,Blackhorse Road     ,Early       ,1710,54230,31.71,184,743,456,167,160,0
522,Blackhorse Road     ,AM peak     ,6830,180790,26.47,1095,3605,1523,497,111,0
522,Blackhorse Road     ,Midday      ,3337,78435,23.5,661,1846,676,145,9,0
522,Blackhorse Road     ,PM Peak     ,1700,39262,23.1,611,550,503,29,7,0
522,Blackhorse Road     ,Evening     ,581,11231,19.33,279,211,75,16,0,0
522,Blackhorse Road     ,Late        ,140,2282,16.34,69,69,2,0,0,0
522,Blackhorse Road     ,Total day   ,14298,366230,25.61,2899,7023,3235,853,288,0
524,Bond Street         ,Early       ,297,6599,22.2,66,186,33,0,13,0
524,Bond Street         ,AM peak     ,2329,42139,18.09,1059,1061,131,78,0,0
524,Bond Street         ,Midday      ,16897,314193,18.59,6958,8075,1560,289,15,0
524,Bond Street         ,PM Peak     ,25124,520795,20.73,8472,12842,3317,453,40,0
524,Bond Street         ,Evening     ,12329,268556,21.78,3100,7028,1802,390,9,0
524,Bond Street         ,Late        ,4149,96854,23.34,809,2486,611,212,32,0
524,Bond Street         ,Total day   ,61125,1249135,20.44,20463,31678,7452,1422,109,0
525,Borough             ,Early       ,148,3235,21.9,51,66,20,11,0,0
525,Borough             ,AM peak     ,1510,26417,17.5,626,766,101,18,0,0
525,Borough             ,Midday      ,2611,53772,20.6,736,1487,292,89,6,0
525,Borough             ,PM Peak     ,3563,83574,23.46,577,2099,803,71,13,0
525,Borough             ,Evening     ,1199,25943,21.63,272,674,229,24,1,0
525,Borough             ,Late        ,488,9244,18.96,133,290,49,15,0,0
525,Borough             ,Total day   ,9518,202185,21.24,2394,5382,1494,229,19,0
526,Boston Manor        ,Early       ,245,6607,26.96,75,83,53,34,0,0
